img_id,fold
ID1_Aud_Cortex_Tursiops,0
ID11_Aud_Cortex_Tursiops,0
ID12_Aud_Cortex_Tursiops,0
ID13_Aud_Cortex_Tursiops,0
ID15_Aud_Cortex_Tursiops,0
ID16_Aud_Cortex_Tursiops,0
ID17_Aud_Cortex_Tursiops,0
ID18_Aud_Cortex_Tursiops,0
ID19_Aud_Cortex_Tursiops,0
ID2_Aud_Cortex_Tursiops,0
ID20_Aud_Cortex_Tursiops,0
ID21_Aud_Cortex_Tursiops,0
ID23_Aud_Cortex_Tursiops,0
ID24_Aud_Cortex_Tursiops,0
ID25_Aud_Cortex_Tursiops,0
ID26_Aud_Cortex_Tursiops,0
ID27_Aud_Cortex_Tursiops,0
ID29_Aud_Cortex_Tursiops,0
ID3_Aud_Cortex_Tursiops,0
ID30_Aud_Cortex_Tursiops,0
ID31_Aud_Cortex_Tursiops,0
ID32_Aud_Cortex_Tursiops,0
ID33_Aud_Cortex_Tursiops,0
ID34_Aud_Cortex_Tursiops,0
ID35_Aud_Cortex_Tursiops,0
ID36_Aud_Cortex_Tursiops,0
ID37_Aud_Cortex_Tursiops,0
ID38_Aud_Cortex_Tursiops,0
ID39_Aud_Cortex_Tursiops,0
ID4_Aud_Cortex_Tursiops,0
ID41_Aud_Cortex_Tursiops,0
ID42_Aud_Cortex_Tursiops,0
ID44_Aud_Cortex_Tursiops,0
ID45_Aud_Cortex_Tursiops,0
ID46_Aud_Cortex_Tursiops,0
ID47_Aud_Cortex_Tursiops,0
ID48_Aud_Cortex_Tursiops,0
ID49_Aud_Cortex_Tursiops,0
ID54_Cerebellum_Bovine,0
ID56_Cerebellum_Chimpanzee,0
ID58_Hippocampus_Mouse,0
ID6_Aud_Cortex_Tursiops,0
ID8_Aud_Cortex_Tursiops,0
ID40_Aud_Cortex_Tursiops,1
ID50_Aud_Cortex_Tursiops,1
ID51_Aud_Cortex_Tursiops,1
ID57_Cerebellum_Chimpanzee,1
ID7_Aud_Cortex_Tursiops,1
ID9_Aud_Cortex_Tursiops,1
ID10_Aud_Cortex_Tursiops,2
ID14_Aud_Cortex_Tursiops,2
ID22_Aud_Cortex_Tursiops,2
ID28_Aud_Cortex_Tursiops,2
ID43_Aud_Cortex_Tursiops,2
ID5_Aud_Cortex_Tursiops,2
ID52_Aud_Cortex_Tursiops,2
ID53_Aud_Cortex_Tursiops,2
ID55_Cerebellum_Chimpanzee,2
