img_id,fold,,,,
ID1_Aud_Cortex_Tursiops_1,0,,,,
ID1_Aud_Cortex_Tursiops_10,0,,,,
ID1_Aud_Cortex_Tursiops_11,0,,,,
ID1_Aud_Cortex_Tursiops_12,0,,,,
ID1_Aud_Cortex_Tursiops_13,0,,,,
ID1_Aud_Cortex_Tursiops_14,0,,,,
ID1_Aud_Cortex_Tursiops_15,0,,,,
ID1_Aud_Cortex_Tursiops_16,0,,,,
ID1_Aud_Cortex_Tursiops_2,0,,,,
ID1_Aud_Cortex_Tursiops_3,0,,,,
ID1_Aud_Cortex_Tursiops_4,0,,,,
ID1_Aud_Cortex_Tursiops_5,0,,,,
ID1_Aud_Cortex_Tursiops_6,0,,,,
ID1_Aud_Cortex_Tursiops_7,0,,,,
ID1_Aud_Cortex_Tursiops_8,0,,,,
ID1_Aud_Cortex_Tursiops_9,0,,,,
ID11_Aud_Cortex_Tursiops_1,0,,,,
ID11_Aud_Cortex_Tursiops_10,0,,,,
ID11_Aud_Cortex_Tursiops_11,0,,,,
ID11_Aud_Cortex_Tursiops_12,0,,,,
ID11_Aud_Cortex_Tursiops_13,0,,,,
ID11_Aud_Cortex_Tursiops_14,0,,,,
ID11_Aud_Cortex_Tursiops_15,0,,,,
ID11_Aud_Cortex_Tursiops_16,0,,,,
ID11_Aud_Cortex_Tursiops_2,0,,,,
ID11_Aud_Cortex_Tursiops_3,0,,,,
ID11_Aud_Cortex_Tursiops_4,0,,,,
ID11_Aud_Cortex_Tursiops_5,0,,,,
ID11_Aud_Cortex_Tursiops_6,0,,,,
ID11_Aud_Cortex_Tursiops_7,0,,,,
ID11_Aud_Cortex_Tursiops_8,0,,,,
ID11_Aud_Cortex_Tursiops_9,0,,,,
ID12_Aud_Cortex_Tursiops_1,0,,,,
ID12_Aud_Cortex_Tursiops_10,0,,,,
ID12_Aud_Cortex_Tursiops_11,0,,,,
ID12_Aud_Cortex_Tursiops_12,0,,,,
ID12_Aud_Cortex_Tursiops_13,0,,,,
ID12_Aud_Cortex_Tursiops_14,0,,,,
ID12_Aud_Cortex_Tursiops_15,0,,,,
ID12_Aud_Cortex_Tursiops_16,0,,,,
